"2014-01-01T05:05:05.000Z","Virginia","1"
"2014-01-01T05:05:05.000Z","Virginia","3"
"2014-01-01T05:05:05.000Z","North Carolina","3"
"2014-01-02T05:05:05.000Z","Virginia","2"
"2014-01-02T05:05:05.000Z","Virginia","1"
"2014-01-02T05:05:05.000Z","Virginia","1"
"2014-01-02T05:05:05.000Z","North Carolina","1"
"2014-01-02T05:05:05.000Z","North Carolina","2"
"2014-01-03T05:05:05.000Z","Virginia","2"
"2014-01-03T05:05:05.000Z","North Carolina","2"
"2014-01-04T05:05:05.000Z","North Carolina","1"
"2014-01-04T05:05:05.000Z","Virginia","3"
"2014-01-04T05:05:05.000Z","North Carolina","2"
"2014-01-05T05:05:05.000Z","Virginia","5"
"2014-01-05T05:05:05.000Z","North Carolina","5"
"2014-01-06T05:05:05.000Z","North Carolina","21"
"2014-01-06T05:05:05.000Z","Virginia","5"
"2014-01-06T05:05:05.000Z","Virginia","17"
"2014-01-07T05:05:05.000Z","North Carolina","2"
"2014-01-07T05:05:05.000Z","Virginia","3"
